beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Dehydration - Yuzu & Lemon Gose","Tanker Brewery","Sour - Fruited Gose",5.5,20,,"Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,3.5,"2019-08-14 20:35:34",https://untappd.com/c/791414961,https://untappd.com/beer/3220556,https://untappd.com/brewery/128227,Estonia,Jüri,Harjumaa,,,Can,791414961,3220556,128227,https://untappd.s3.amazonaws.com/photos/2019_08_14/596ddcfa5892fa02eec6475e40ebd338_raw.jpg,3.55,3.56,,0,0
"Hazy And Sally",Mikkeller,"Pale Ale - New England",4.5,0,,"Mikkeller Helsinki",Helsinki,Uusimaa,Suomi,60.1668,24.936,3.75,"2019-08-15 15:54:26",https://untappd.com/c/791694077,https://untappd.com/beer/2944495,https://untappd.com/brewery/2813,Denmark,Copenhagen,"Region Hovedstaden",,"Mikkeller Helsinki",Draft,791694077,2944495,2813,,3.53,3.54,,0,0
"Hazesan Allihops",Mikkeller,"Pale Ale - New England",5.1,0,,"Mikkeller Helsinki",Helsinki,Uusimaa,Suomi,60.1668,24.936,3.5,"2019-08-15 15:54:55",https://untappd.com/c/791694135,https://untappd.com/beer/2362679,https://untappd.com/brewery/2813,Denmark,Copenhagen,"Region Hovedstaden",,"Mikkeller Helsinki",Draft,791694135,2362679,2813,,3.51,3.51,,0,0
"Passion Pale Ale","Maku Brewing","Pale Ale - American",4.5,0,,Kaisla,Helsinki,Uusimaa,Suomi,60.1719,24.9474,3.25,"2019-08-15 18:43:09",https://untappd.com/c/791717712,https://untappd.com/beer/3202898,https://untappd.com/brewery/144063,Finland,Tuusula,,,,Draft,791717712,3202898,144063,https://untappd.s3.amazonaws.com/photos/2019_08_15/24f81031df63fa9097a8c590d56be2f1_raw.jpg,3.27,3.39,,0,0
"Kaislan Porilainen","Panimoravintola Beer Hunter's","IPA - American",5.5,0,,Kaisla,Helsinki,Uusimaa,Suomi,60.1719,24.9474,3.5,"2019-08-15 18:43:42",https://untappd.com/c/791717856,https://untappd.com/beer/1045048,https://untappd.com/brewery/20115,Finland,Pori,Länsi-Suomi,,,Draft,791717856,1045048,20115,https://untappd.s3.amazonaws.com/photos/2019_08_15/89b00bbb23582526916f55988abadb53_raw.jpg,3.35,3.39,,0,0
"Tuk Tuk Drama",Põhjala,"IPA - Milkshake",5.3,25,,Kaisla,Helsinki,Uusimaa,Suomi,60.1719,24.9474,4,"2019-08-15 18:44:19",https://untappd.com/c/791718005,https://untappd.com/beer/3191096,https://untappd.com/brewery/54434,Estonia,Tallinn,Harjumaa,,,Draft,791718005,3191096,54434,https://untappd.s3.amazonaws.com/photos/2019_08_15/5b0b073da442edb9061ad3c560a526d7_raw.jpg,3.74,3.74,,1,0
"How To Tear Down This Wall (Raspberry)","This Is How","Sour - Fruited Berliner Weisse",4.5,0,,Kaisla,Helsinki,Uusimaa,Suomi,60.1719,24.9474,3.75,"2019-08-15 18:45:38",https://untappd.com/c/791718293,https://untappd.com/beer/2789467,https://untappd.com/brewery/349437,Sweden,Piteå,,,,Draft,791718293,2789467,349437,https://untappd.s3.amazonaws.com/photos/2019_08_15/a0838e9c2baa01d879cf5eeba32db56a_raw.jpg,3.42,3.42,,0,0
"Jah Jah Rub A Dub Mango IPA","The Flying Dutchman Nomad Brewing Company","IPA - Session / India Session Ale",3.5,35,,Kaisla,Helsinki,Uusimaa,Suomi,60.1719,24.9474,3.5,"2019-08-15 19:09:41",https://untappd.com/c/791724290,https://untappd.com/beer/2406118,https://untappd.com/brewery/75189,Finland,Vantaa,Etelä-Suomi,,,Bottle,791724290,2406118,75189,https://untappd.s3.amazonaws.com/photos/2019_08_15/8e88b8639ebbb1757f44ac03e6c54aa2_raw.jpg,3.3,3.33,,0,0
"Sea Buckthorne Gose","Left Handed Giant Brewing","Sour - Fruited Gose",5.8,0,,Kaisla,Helsinki,Uusimaa,Suomi,60.1719,24.9474,3.75,"2019-08-15 20:45:49",https://untappd.com/c/791756818,https://untappd.com/beer/1550295,https://untappd.com/brewery/189129,England,Bristol,"City of Bristol",,,Draft,791756818,1550295,189129,https://untappd.s3.amazonaws.com/photos/2019_08_15/92cdc5edeef10db0a5bdea52522d99ba_raw.jpg,3.77,3.68,,0,0
"Road 2 Ruin Double IPA","Two Roads Brewing Company","IPA - Imperial / Double",8,78,,"Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,4,"2019-08-17 19:41:47",https://untappd.com/c/792805379,https://untappd.com/beer/266065,https://untappd.com/brewery/45815,"United States",Stratford,CT,,,Bottle,792805379,266065,45815,https://untappd.s3.amazonaws.com/photos/2019_08_17/f73b95d8423a8c6fbf88f6fd27ee26cd_raw.jpg,3.82,3.82,,0,0
"Tefnut (w/ Raspberries)",Omnipollo,"Sour - Fruited Gose",11,0,"Hyvin erikoinen, varmaan pää kipeä aamulla","Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,4.25,"2019-08-17 20:36:32",https://untappd.com/c/792853094,https://untappd.com/beer/3276198,https://untappd.com/brewery/29486,Sweden,"Sundbybergs kommun","Stockholms län",,,Can,792853094,3276198,29486,https://untappd.s3.amazonaws.com/photos/2019_08_17/451fcf2038398539030977fccd3108f6_raw.jpg,4.04,4.01,,1,0
